,Accuracy,Precision,Recall
Logistic_Regression,0.867896579585241,0.8768457897559162,0.867896579585241
KNN,0.9836049016967412,0.9836065519371108,0.9836049016967412
Decision_Trees,0.9624293024508483,0.9642923478210308,0.9624293024508483
Random_Forest,0.9992930245084837,0.9992931263251194,0.9992930245084837
